CSA2010,Life expectancy rate 
Allendale/Irvington/S. Hilton,70.35193484
Beechfield/Ten Hills/West Hills,74.72865359
Belair-Edison,72.54783951
Brooklyn/Curtis Bay/Hawkins Point,69.51688231
Canton,77.4332708
Cedonia/Frankford,72.76420956
Cherry Hill,68.82897008
Chinquapin Park/Belvedere,74.86008277
Claremont/Armistead,72.65585798
Clifton-Berea,66.38062135
Cross-Country/Cheswolde,84.2
Dickeyville/Franklintown,73.38236586
Dorchester/Ashburton,73.99968233
Downtown/Seton Hill,65.02965807
Edmondson Village,73.52996563
Fells Point,76.78576357
Forest Park/Walbrook,73.40755922
Glen-Fallstaff,78.5
Greater Charles Village/Barclay,75.09375372
Greater Govans,74.26193602
Greater Mondawmin,71.72684983
Greater Roland Park/Poplar Hill,84.4002873
Greater Rosemont,70.08257454
Greenmount East,67.38544711
Hamilton,75.41081747
Harbor East/Little Italy,72.54665423
Harford/Echodale,76.15630363
Highlandtown,74.40875731
Howard Park/West Arlington,75.02712615
Inner Harbor/Federal Hill,77.76916927
Lauraville,75.04206414
Loch Raven,75.85231903
Madison/East End,67.42944927
Medfield/Hampden/Woodberry/Remington,75.87834644
Midtown,75.99684999
Midway/Coldstream,67.93404998
Morrell Park/Violetville,72.66894023
Mount Washington/Coldspring,81.73028093
North Baltimore/Guilford/Homeland,83.17813455
Northwood,76.17914979
Oldtown/Middle East,73.96947203
Orangeville/East Highlandtown,72.90309201
Patterson Park North & East,71.68085019
Penn North/Reservoir Hill,69.91305729
Pimlico/Arlington/Hilltop,69.05905538
Poppleton/The Terraces/Hollins Market,67.06929482
Sandtown-Winchester/Harlem Park,68.77724904
South Baltimore,74.95591975
Southeastern,74.02442697
Southern Park Heights,69.23599536
Southwest Baltimore,67.84806507
The Waverlies,72.0451337
Upton/Druid Heights,67.25305595
Washington Village/Pigtown,69.82863561
Westport/Mount Winans/Lakeland,72.83599009
