Community,Per capita income
Rogers Park,23939
West Ridge,23040
Uptown,35787
Lincoln Square,37524
North Center,57123
Lincoln Park,71551
Near North Side,88669
Edison Park,40959
Norwood Park,32875
Jefferson Park,27751
Forest Glen,44164
North Park,26576
Albany Park,21323
Portage Park,24336
Irving Park,27249
Dunning,26282
Belmont Cragin,15461
Hermosa,15089
Avondale,20039
Logan Square,31908
Humboldt park,13781
West Town,43198
Austin,15957
West Garfield Park,10934
East Garfield Park,12961
Near West Side,44689
North Lawndale,12034
South Lawndale,10402
Lower West Side,16444
Loop,65526
Near South Side,59077
Armour Square,16148
Oakland,19252
Fuller Park,10432
Grand Boulevard,23472
Kenwood,35911
Washington Park,13785
Hyde Park,39056
Woodlawn,18672
South Shore,19398
Chatham,18881
Avalon Park,24454
South Chicago,16579
Burnside,12515
Calumet Heights,28887
Roseland,17949
Pullman,20588
South Deering,14685
East Side,17104
West Pullman,16563
Riverdale,8201
Hegewisch,22677
Garfield Ridge,26353
Archer Heights,16134
Brighton Park,13089
McKinley Park,16954
Bridgeport,22694
New City,12765
West Elsdon,15754
Gage Park,12171
Clearing,25113
West Lawn,16907
Chicago Lawn,13231
West Englewood,11317
Englewood,11888
Greater Grand Crossing,17285
Ashburn,23482
Auburn Gresham,15528
Beverly,39523
Mount Greenwood,34381
Morgan Park,27149
O'Hare,25828
Edgewater,33385
